F_CODE,F_LEVEL,F_STATUS,OCEAN,SUBOCEAN,F_AREA,F_SUBAREA,F_DIVISION,F_SUBDIVIS,F_SUBUNIT,ID,NAME_EN,NAME_FR,NAME_ES,SURFACE
27.7.c,DIVISION,1,Atlantic,2,27,27.7,27.7.c,,,256,Porcupine Bank (Division 27.7.c),Banc de Porcupine (Division 27.7.c),Porcupine Bank (División 27.7.c),88580571011
27.3.d,DIVISION,1,Atlantic,2,27,27.3,27.3.d,,,257,Baltic Sea (Division 27.3.d),Mer Baltique (Division 27.3.d),Mar Báltico (División 27.3.d),3.80162E+11
"27.3.b, c",DIVISION,1,Atlantic,2,27,27.3,"27.3.b, c",,,258,,,,20488442820
37.1,SUBAREA,1,Atlantic,3,37,37.1,,,,21,Western subarea,Sous-zone occidentale,Subárea occidental,8.44633E+11
27.4.b,DIVISION,1,Atlantic,2,27,27.4,27.4.b,,,259,Central North Sea (Division 27.4.b),Mer du Nord centrale (Division 27.4.b),Mar del Norte central (División 27.4.b),2.81385E+11
27.6.b,DIVISION,1,Atlantic,2,27,27.6,27.6.b,,,260,Rockall (Division 27.6.b),Rockall (Division 27.6.b),Rockall (División 27.6.b),2.21554E+11
27.5.b,DIVISION,1,Atlantic,2,27,27.5,27.5.b,,,261,Faroes Grounds (Division 27.5.b),Fonds des Féroé (Division 27.5.b),Fondos de las Feroe (División 27.5.b),1.92205E+11
27.12.a,DIVISION,1,Atlantic,2,27,27.12,27.12.a,,,262,Southern mid-Atlantic Ridge (Division 27.12.a),Nord des Açores (Division 27.12.a),Norte de las Azores (División 27.12.a),1.07054E+12
27.5.a,DIVISION,1,Atlantic,2,27,27.5,27.5.a,,,263,Iceland Grounds (Division 27.5.a),Fonds de l'Islande (Division 27.5.a),Fondos de Islandia (División 27.5.a),3.78761E+11
27.14.b,DIVISION,1,Atlantic,2,27,27.14,27.14.b,,,264,Southeast Greenland (Division 27.14.b),Groenland sud-est (Division 27.14.b),Groenlandia sudoriental (División 27.14.b),6.73865E+11
27.2.a,DIVISION,1,Atlantic,2,27,27.2,27.2.a,,,265,Norwegian Sea (Division 27.2.a),Mer de Norvège (Division 27.2.a),Mar de Noruega (División 27.2.a),1.4329E+12
27.2.b,DIVISION,1,Atlantic,2,27,27.2,27.2.b,,,266,Spitzbergen and Bear Island (Division 27.2.b),Spitzberg et île aux Ours (Division 27.2.b),Spitzbergen e Islas Osos (División 27.2.b),1.12518E+12
27.1.a,DIVISION,1,Atlantic,2,27,27.1,27.1.a,,,267,Barents Sea - NEAFC Regulatory Area (Division 27.1.a),Mer de Barents - CPANE (Division 27.1.a),Mar de Barents - CPANE (División 27.1.a),66867114915
27.14.a,DIVISION,1,Atlantic,2,27,27.14,27.14.a,,,268,Northeast Greenland (Division 27.14.a),Groenland nord-est (Division 27.14.a),Groenlandia nordoriental (División 27.14.a),6.60097E+11
27.12,SUBAREA,1,Atlantic,2,27,27.12,,,,22,North of Azores (Subarea 27.12),Nord des Açores (Sous-zone 27.12),Norte de las Azores (Subárea 27.12),2.14803E+12
27.7.e,DIVISION,1,Atlantic,2,27,27.7,27.7.e,,,269,Western English Channel (Division 27.7.e),Manche occidentale (Division 27.7.e),Canal de la Mancha occidental (División 27.7.e),56394289620
27.7.d,DIVISION,1,Atlantic,2,27,27.7,27.7.d,,,270,Eastern English Channel (Division 27.7.d),Manche orientale (Division 27.7.d),Canal de la Mancha oriental (División 27.7.d),33233427662
27.6.a,DIVISION,1,Atlantic,2,27,27.6,27.6.a,,,271,Northwest Coast of Scotland and North Ireland or as the West of Scotland (Division 27.6.a),Côte Nord-Ouest de l'Ecosse et Irlande du Nord ou comme Ouest de l'Ecosse (Division 27.6.a),Costa nord-occidental de Escocia e Irlanda del Norte o el Oeste de Escocia (División 27.6.a),2.37093E+11
27.7.b,DIVISION,1,Atlantic,2,27,27.7,27.7.b,,,272,West of Ireland (Division 27.7.b),Ouest de l'Irlande (Division 27.7.b),Oeste de Irlanda (División 27.7.b),35977131416
27.7.a,DIVISION,1,Atlantic,2,27,27.7,27.7.a,,,273,Irish Sea (Division 27.7.a),Mer d'Irlande (Division 27.7.a),Mar de Irlanda (División 27.7.a),50225033064
27.4.a,DIVISION,1,Atlantic,2,27,27.4,27.4.a,,,274,Northern North Sea (Division 27.4.a),Mer du Nord septentrionale (Division 27.4.a),Mar del Norte septentrional (División 27.4.a),2.699E+11
27.1.b,DIVISION,1,Atlantic,2,27,27.1,27.1.b,,,275,Barents Sea Non-NEAFC Regulatory Area (Division 27.1.b),Mer de Barents - non-CPANE (Division  27.1.b),Mar de Barents - Non-CPANE (División  27.1.b),1.55713E+12
27.3.a,DIVISION,1,Atlantic,2,27,27.3,27.3.a,,,277,Skagerrak and Kattegat (Division 27.3.a),Skagerrak et Cattégat (Division 27.3.a),"Skagerrak, Kattegat (División 27.3.a)",54944008753
34.1.11,SUBDIVISION,1,Atlantic,3,34,34.1,34.1.1,34.1.11,,278,"Atlantic, East central / 34.1.11",Atl EC / 34.1.1.1,Atl EC / 34.1.11,1.89291E+11
34.1.12,SUBDIVISION,1,Atlantic,3,34,34.1,34.1.1,34.1.12,,279,"Atlantic, East central / 34.1.12",Atl EC / 34.1.1.2,Atl EC / 34.1.12,1.40504E+11
37.2,SUBAREA,1,Atlantic,3,37,37.2,,,,23,Central subarea,Sous-zone centrale,Subárea central,9.4501E+11
34.1.13,SUBDIVISION,1,Atlantic,3,34,34.1,34.1.1,34.1.13,,280,"Atlantic, East central / 34.1.13",Atl EC / 34.1.1.3,Atl EC / 34.1.13,54276684008
34.1.31,SUBDIVISION,1,Atlantic,3,34,34.1,34.1.3,34.1.31,,281,"Atlantic, East central / 34.1.31",Atl EC / 34.1.3.1,Atl EC / 34.1.31,1.98857E+11
34.1.32,SUBDIVISION,1,Atlantic,3,34,34.1,34.1.3,34.1.32,,282,"Atlantic, East central / 34.1.32",Atl EC / 34.1.3.2,Atl EC / 34.1.32,1.18042E+11
34.3.11,SUBDIVISION,1,Atlantic,3,34,34.3,34.3.1,34.3.11,,283,"Atlantic, East central / 34.3.11",Atl EC / 34.3.1.1,Atl EC / 34.3.11,1.33029E+11
34.3.12,SUBDIVISION,1,Atlantic,3,34,34.3,34.3.1,34.3.12,,284,"Atlantic, East central / 34.3.12",Atl EC / 34.3.1.2,Atl EC / 34.3.12,1.40592E+11
34.3.13,SUBDIVISION,1,Atlantic,3,34,34.3,34.3.1,34.3.13,,285,"Atlantic, East central / 34.3.13",Atl EC / 34.3.1.3,Atl EC / 34.3.13,2.11732E+11
87.1.11,SUBDIVISION,1,Pacific,8,87,87.1,87.1.1,87.1.11,,286,"Pacific, Southeast / 87.1.11","Pacific, Southeast / 87.1.11","Pacific, Southeast / 87.1.11",1.20504E+11
87.1.21,SUBDIVISION,1,Pacific,8,87,87.1,87.1.2,87.1.21,,287,"Pacific, Southeast / 87.1.21","Pacific, Southeast / 87.1.21","Pacific, Southeast / 87.1.21",89508644773
87.1.22,SUBDIVISION,1,Pacific,8,87,87.1,87.1.2,87.1.22,,288,"Pacific, Southeast / 87.1.22","Pacific, Southeast / 87.1.22","Pacific, Southeast / 87.1.22",90998100880
87.1.12,SUBDIVISION,1,Pacific,8,87,87.1,87.1.1,87.1.12,,289,"Pacific, Southeast / 87.1.12","Pacific, Southeast / 87.1.12","Pacific, Southeast / 87.1.12",1.0626E+11
37.3,SUBAREA,1,Atlantic,3,37,37.3,,,,24,Eastern subarea,Sous-zone orientale,Subárea oriental,7.30391E+11
87.1.23,SUBDIVISION,1,Pacific,8,87,87.1,87.1.2,87.1.23,,290,"Pacific, Southeast / 87.1.23","Pacific, Southeast / 87.1.23","Pacific, Southeast / 87.1.23",1.17721E+11
87.1.13,SUBDIVISION,1,Pacific,8,87,87.1,87.1.1,87.1.13,,291,"Pacific, Southeast / 87.1.13","Pacific, Southeast / 87.1.13","Pacific, Southeast / 87.1.13",1.22349E+11
87.1.24,SUBDIVISION,1,Pacific,8,87,87.1,87.1.2,87.1.24,,292,"Pacific, Southeast / 87.1.24","Pacific, Southeast / 87.1.24","Pacific, Southeast / 87.1.24",95180120893
87.1.14,SUBDIVISION,1,Pacific,8,87,87.1,87.1.1,87.1.14,,293,"Pacific, Southeast / 87.1.14","Pacific, Southeast / 87.1.14","Pacific, Southeast / 87.1.14",95478951483
87.1.25,SUBDIVISION,1,Pacific,8,87,87.1,87.1.2,87.1.25,,294,"Pacific, Southeast / 87.1.25","Pacific, Southeast / 87.1.25","Pacific, Southeast / 87.1.25",1.11492E+11
87.1.15,SUBDIVISION,1,Pacific,8,87,87.1,87.1.1,87.1.15,,295,"Pacific, Southeast / 87.1.15","Pacific, Southeast / 87.1.15","Pacific, Southeast / 87.1.15",1.246E+11
87.2.21,SUBDIVISION,1,Pacific,8,87,87.2,87.2.2,87.2.21,,296,87.2.21,87.2.21,87.2.21,70645201177
87.2.11,SUBDIVISION,1,Pacific,8,87,87.2,87.2.1,87.2.11,,297,87.2.11,87.2.11,87.2.11,59312735458
87.2.22,SUBDIVISION,1,Pacific,8,87,87.2,87.2.2,87.2.22,,298,87.2.22,87.2.22,87.2.22,81211153668
87.2.12,SUBDIVISION,1,Pacific,8,87,87.2,87.2.1,87.2.12,,299,87.2.12,87.2.12,87.2.12,81727299025
34.2,SUBAREA,1,Atlantic,3,34,34.2,,,,26,Northern oceanic subarea,Sous-zone océanique nord,Subárea oceánica norte,3.47677E+12
87.2.23,SUBDIVISION,1,Pacific,8,87,87.2,87.2.2,87.2.23,,300,87.2.23,87.2.23,87.2.23,54901008872
87.2.13,SUBDIVISION,1,Pacific,8,87,87.2,87.2.1,87.2.13,,301,87.2.13,87.2.13,87.2.13,55326804437
87.2.24,SUBDIVISION,1,Pacific,8,87,87.2,87.2.2,87.2.24,,302,87.2.24,87.2.24,87.2.24,51365334894
87.2.14,SUBDIVISION,1,Pacific,8,87,87.2,87.2.1,87.2.14,,303,87.2.14,87.2.14,87.2.14,53372273757
87.2.25,SUBDIVISION,1,Pacific,8,87,87.2,87.2.2,87.2.25,,304,87.2.25,87.2.25,87.2.25,29231753593
87.2.15,SUBDIVISION,1,Pacific,8,87,87.2,87.2.1,87.2.15,,305,87.2.15,87.2.15,87.2.15,29969868104
87.2.26,SUBDIVISION,1,Pacific,8,87,87.2,87.2.2,87.2.26,,306,87.2.26,87.2.26,87.2.26,41769825617
87.2.16,SUBDIVISION,1,Pacific,8,87,87.2,87.2.1,87.2.16,,307,87.2.16,87.2.16,87.2.16,39773592212
87.2.27,SUBDIVISION,1,Pacific,8,87,87.2,87.2.2,87.2.27,,308,87.2.27,87.2.27,87.2.27,56839437594
87.2.17,SUBDIVISION,1,Pacific,8,87,87.2,87.2.1,87.2.17,,309,87.2.17,87.2.17,87.2.17,59269278625
34.1,SUBAREA,1,Atlantic,3,34,34.1,,,,27,Northern coastal subarea,Sous-zone côtière nord,Subárea costera norte,1.38335E+12
87.3.21,SUBDIVISION,1,Pacific,8,87,87.3,87.3.2,87.3.21,,310,87.3.21,87.3.21,87.3.21,76790165617
87.3.11,SUBDIVISION,1,Pacific,8,87,87.3,87.3.1,87.3.11,,311,87.3.11,87.3.11,87.3.11,99678599557
87.3.22,SUBDIVISION,1,Pacific,8,87,87.3,87.3.2,87.3.22,,312,87.3.22,87.3.22,87.3.22,81594634267
87.3.23,SUBDIVISION,1,Pacific,8,87,87.3,87.3.2,87.3.23,,313,87.3.23,87.3.23,87.3.23,2.02887E+11
27.10.a.2,SUBDIVISION,1,Atlantic,2,27,27.10,27.10.a,27.10.a.2,,314,Azores Grounds Non-NEAFC Regulatory Area (Subdivision 27.10.a.2),Fonds des Açores - Partie de non-CPANE (Sous-division 27.10.a.2),Fondos de las Azores - Non-CPANE (Subdivisión 27.10.a.2),7.95787E+11
27.10.a.1,SUBDIVISION,1,Atlantic,2,27,27.10,27.10.a,27.10.a.1,,315,Azores Grounds - Parts of the NEAFC Regulatory Area (Subdivision 27.10.a.1),Fonds des Açores - Partie de CPANE (Sous-division 27.10.a.1),Fondos de las Azores - Parte de CPANE (Subdivisión 27.10.a.1),8.0497E+11
27.9.b.1,SUBDIVISION,1,Atlantic,2,27,27.9,27.9.b,27.9.b.1,,316,Portuguese Waters - West Parts in NEAFC Regulatory Area (Subdivision 27.9.b.1),Eaux portugaises - Ouest - Partie de CPANE (Sous-division 27.9.b.1),Aguas Portuguesas - oeste - Partes de CPANE (Subdivisión 27.9.b.1),3.03682E+11
27.9.b.2,SUBDIVISION,1,Atlantic,2,27,27.9,27.9.b,27.9.b.2,,317,Portuguese Waters - West Non-NEAFC Regulatory Area (Subdivision 27.9.b.2),Eaux portugaises - Ouest - Partie de non-CPANE (Sous-division 27.9.b.2),Aguas Portuguesas - oeste Non-CPANE (Subdivisión 27.9.b.2),1.63955E+11
58.4.4.a,SUBDIVISION,1,Indian,10,58,58.4,58.4.4,58.4.4.a,,318,Indian Antarctic 58.4.4.a,Ind Antar 58.4.4.a,Ind Antar 58.4.4.a,1.08162E+12
58.4.4.b,SUBDIVISION,1,Indian,10,58,58.4,58.4.4,58.4.4.b,,319,Indian Antarctic 58.4.4.b,Ind Antar 58.4.4.b,Ind Antar 58.4.4.b,1.41444E+12
51.2,SUBAREA,1,Indian,5,51,51.2,,,,29,Gulf subarea,Sous-zone Golfe,Subárea Golfo,2.41834E+11
87.3.12,SUBDIVISION,1,Pacific,8,87,87.3,87.3.1,87.3.12,,320,87.3.12,87.3.12,87.3.12,1.09487E+11
87.3.13,SUBDIVISION,1,Pacific,8,87,87.3,87.3.1,87.3.13,,321,87.3.13,87.3.13,87.3.13,2.39164E+11
58.4.3.b,SUBDIVISION,1,Indian,10,58,58.4,58.4.3,58.4.3.b,,322,Indian Antarctic 58.4.3.b,Ind Antar 58.4.3.b,Ind Antar 58.4.3.b,6.80095E+11
58.4.3.a,SUBDIVISION,1,Indian,10,58,58.4,58.4.3,58.4.3.a,,323,Indian Antarctic 58.4.3.a,Ind Antar 58.4.3.a,Ind Antar 58.4.3.a,4.9488E+11
27.8.e.1,SUBDIVISION,1,Atlantic,2,27,27.8,27.8.e,27.8.e.1,,324,West of Bay of Biscay - Parts in NEAFC Regulatory Area (Subdivision 27.8.e.1),Ouest du golfe de Gascogne - Partie de CPANE (Sous-division 27.8.e.1),Oeste del Golfo de Vizcaya - Partes de CPANE (Subdivisión 27.8.e.1),2.48579E+11
27.8.d.1,SUBDIVISION,1,Atlantic,2,27,27.8,27.8.d,27.8.d.1,,325,Bay of Biscay - Offshore - Parts in NEAFC Regulatory Area (Subdivision 27.8.d.1),Golfe de Gascogne - Large - Partie de CPANE (Sous-division 27.8.d.1),Golfo de Vizcaya - alta mar - Partes de CPANE (Subdivisión 27.8.d.1),12525579538
21.4.5.s,SUBDIVISION,1,Atlantic,2,21,21.4,21.4.V,21.4.5.s,,326,,,,3.41097E+11
21.5.Z.e,SUBDIVISION,1,Atlantic,2,21,21.5,21.5.Z,21.5.Z.e,,327,"Atlantic, Northwest / 21.5.Z.e",Atl NW / 21.5.Z.e,Atl NW / 21.5.Z.e,1.34916E+11
21.5.Z.w,SUBDIVISION,1,Atlantic,2,21,21.5,21.5.Z,21.5.Z.w,,328,"Atlantic, Northwest / 21.5.Z.w",Atl NW / 21.5.Z.w,Atl NW / 21.5.Z.w,40166826804
21.4.5.n,SUBDIVISION,1,Atlantic,2,21,21.4,21.4.V,21.4.5.n,,329,,,,28737599908
57.1,SUBAREA,1,Indian,5,57,57.1,,,,30,"Indian Ocean, East / 57.1",Ind E / 57.1,Ind E / 57.1,3.55708E+12
21.3.P.s,SUBDIVISION,1,Atlantic,2,21,21.3,21.3.P,21.3.P.s,,330,"Atlantic, Northwest / 21.3.P.s",Atl NW / 21.3.P.s,Atl NW / 21.3.P.s,95022086685
21.3.P.n,SUBDIVISION,1,Atlantic,2,21,21.3,21.3.P,21.3.P.n,,331,"Atlantic, Northwest / 21.3.P.n",Atl NW / 21.3.P.n,Atl NW / 21.3.P.n,6951645880
27.8.d.2,SUBDIVISION,1,Atlantic,2,27,27.8,27.8.d,27.8.d.2,,332,Bay of Biscay - Offshore Non-NEAFC Regulatory Area (Subdivision 27.8.d.2),Golfe de Gascogne - Large - Partie de non-CPANE (Sous-division 27.8.d.2),Golfo de Vizcaya - alta mar Non-CPANE (Subdivisión 27.8.d.2),1.69383E+11
27.7.j.1,SUBDIVISION,1,Atlantic,2,27,27.7,27.7.j,27.7.j.1,,333,Southwest of Ireland - East - Parts of the NEAFC Regulatory Area (Subdivision 27.7.j.1),Sud-ouest de l'Irlande - Est - Partie de CPANE (Sous-division 27.7.j.1),Sudoeste de Irlanda - Este - Parte de CPANE (Subdivisión 27.7.j.1),2950846259
27.7.k.1,SUBDIVISION,1,Atlantic,2,27,27.7,27.7.k,27.7.k.1,,334,Southwest of Ireland - West - Part of the NEAFC Regulatory Area (Subdivision 27.7.k.1),Sud-ouest de l'Irlande - Ouest - Partie de CPANE (Sous-division 27.7.k.1),Sudoeste de Irlanda - Oeste - Parte de CPANE (Subdivisión 27.7.k.1),1.17915E+11
27.7.k.2,SUBDIVISION,1,Atlantic,2,27,27.7,27.7.k,27.7.k.2,,335,Southwest of Ireland - West - Part of the Non-NEAFC Area I (Subdivision 27.7.k.2),Sud-ouest de l'Irlande - Ouest - Partie de non-CPANE (Sous-division 27.7.k.2),Sudoeste de Irlanda - Oeste Non-CPANE (Subdivisión 27.7.k.2),96589994431
27.7.j.2,SUBDIVISION,1,Atlantic,2,27,27.7,27.7.j,27.7.j.2,,336,Southwest of Ireland - East Non-NEAFC Regulatory Area (Subdivision 27.7.j.2),Sud-ouest de l'Irlande - Est - Partie de non-CPANE (Sous-division 27.7.j.2),Sudoeste de Irlanda - Este Non-CPANE (Subdivisión 27.7.j.2),96519142333
27.7.c.1,SUBDIVISION,1,Atlantic,2,27,27.7,27.7.c,27.7.c.1,,337,Porcupine Bank - NEAFC Regulatory Area (Subdivision 27.7.c.1),Banc de Porcupine - CPANE (Sous-division 27.7.c.1),Porcupine Bank - CPANE (Subdivisión 27.7.c.1),30133381472
27.7.c.2,SUBDIVISION,1,Atlantic,2,27,27.7,27.7.c,27.7.c.2,,338,Porcupine Bank Non-NEAFC Regulatory Area (Subdivision 27.7.c.2),Banc de Porcupine - non-CPANE (Sous-division 27.7.c.2),Porcupine Bank Non-CPANE (Subdivisión 27.7.c.2),58447189539
27.3.d.24,SUBDIVISION,1,Atlantic,2,27,27.3,27.3.d,27.3.d.24,,339,Baltic West of Bornholm (Subdivision 27.3.d.24),"Baltique, ouest de Bornholm (Sous-division 27.3.d.24)",Báltico al oeste de Bornholm (Subdivisión 27.3.d.24),24221430073
34.4,SUBAREA,1,Atlantic,3,34,34.4,,,,35,Southern oceanic subarea,Sous-zone océanique sud,Subárea oceánica sur,4.71925E+12
27.3.b.23,SUBDIVISION,1,Atlantic,2,27,27.3,"27.3.b, c",27.3.b.23,,340,Sound (Subdivision 27.3.b.23),Øresund (Sous-division 27.3.b.23),Sund (Subdivisión 27.3.b.23),2518396625
27.3.d.26,SUBDIVISION,1,Atlantic,2,27,27.3,27.3.d,27.3.d.26,,341,Southern Central Baltic - East (Subdivision 27.3.d.26),Baltique centre-sud - Est (Sous-division 27.3.d.26),Báltico centro-meridional - Este (Subdivisión 27.3.d.26),40567009833
27.6.b.1,SUBDIVISION,1,Atlantic,2,27,27.6,27.6.b,27.6.b.1,,342,Rockall - Part of NEAFC area I (Subdivision 27.6.b.1),Rockall - Partie de CPANE (Sous-division 27.6.b.1),Rockall - Parte de CPANE (Subdivisión 27.6.b.1),1.15507E+11
27.6.b.2,SUBDIVISION,1,Atlantic,2,27,27.6,27.6.b,27.6.b.2,,343,Rockall Non-NEAFC area (Subdivision 27.6.b.2),Rockall - Partie de non-CPANE (Sous-division 27.6.b.2),Rockall Non-CPANE (Subdivisión 27.6.b.2),1.06046E+11
27.5.b.1,SUBDIVISION,1,Atlantic,2,27,27.5,27.5.b,27.5.b.1,,344,Faroe Plateau (Subdivision 27.5.b.1),Plateau des Féroé (Sous-division 27.5.b.1),Planicie de las Feroe (Subdivisión 27.5.b.1),1.71335E+11
