F_CODE,F_LEVEL,F_STATUS,OCEAN,SUBOCEAN,F_AREA,F_SUBAREA,F_DIVISION,F_SUBDIVIS,F_SUBUNIT,ID,NAME_EN,NAME_FR,NAME_ES,SURFACE
27.12.a.1,SUBDIVISION,1,Atlantic,2,27,27.12,27.12.a,27.12.a.1,,345,Subdivision 27.12.a.1 - NEAFC Regulatory Area,Subdivision 27.12.a.1 - CPANE,Subdivisión 27.12.a.1 - CPANE,8.83552E+11
27.12.a.4,SUBDIVISION,1,Atlantic,2,27,27.12,27.12.a,27.12.a.4,,346,Subdivision 27.12.a.4 Non-NEAFC Regulatory Area,Subdivision 27.12.a.4  non-CPANE,Subdivisión 27.12.a.4 - Non-CPANE,1.26814E+11
27.5.a.1,SUBDIVISION,1,Atlantic,2,27,27.5,27.5.a,27.5.a.1,,347,Northern Reykjanes Ridge (Subdivision 27.5.a.1),Fonds de l'Islande (Sous-division 27.5.a.1),Fondos de Islandia (Subdivisión 27.5.a.1),17231906741
27.14.b.1,SUBDIVISION,1,Atlantic,2,27,27.14,27.14.b,27.14.b.1,,348,Southeast Greenland - Parts of NEAFC Regulatory Area (Subdivision 27.14.b.1),Groenland sud-est - Partie de CPANE (Sous-division 27.14.b.1),Groenlandia sudoriental - Partes de CPANE (Subdivisión 27.14.b.1),1.64409E+11
27.5.a.2,SUBDIVISION,1,Atlantic,2,27,27.5,27.5.a,27.5.a.2,,349,Icelandic Shelf (Subdivision 27.5.a.2),Fonds de l'Islande (Sous-division 27.5.a.2),Fondos de Islandia (Subdivisión 27.5.a.2),3.61529E+11
67,MAJOR,1,Pacific,6,67,,,,,3,"Pacific, Northeast","Pacifique, nord-est","Pacífico, nordeste",7.65712E+12
34.3,SUBAREA,1,Atlantic,3,34,34.3,,,,36,Southern coastal subarea,Sous-zone côtière sud,Subárea costera sur,4.49688E+12
27.14.b.2,SUBDIVISION,1,Atlantic,2,27,27.14,27.14.b,27.14.b.2,,350,Southeast Greenland Non-NEAFC Regulatory Area (Subdivision 27.14.b.2),Groenland sud-est - Partie de non-CPANE (Sous-division 27.14.b.2),Groenlandia sudoriental Non-CPANE (Subdivisión 27.14.b.2),5.09457E+11
27.2.a.1,SUBDIVISION,1,Atlantic,2,27,27.2,27.2.a,27.2.a.1,,351,Norwegian Sea - NEAFC Regulatory Area (Division 27.2.a.1),Mer de Norvège - CPANE (Division 27.2.a.1),Mar de Noruega - CPANE (División 27.2.a.1),2.44365E+11
27.2.b.1,SUBDIVISION,1,Atlantic,2,27,27.2,27.2.b,27.2.b.1,,352,Spitzbergen and Bear Island - NEAFC Regulatory Area (Division 27.2.b.1),Spitzberg et île aux Ours - CPANE (Division 27.2.b.1),Spitzbergen e Islas Osos - CPANE (División 27.2.b.1),72016703121
27.2.b.2,SUBDIVISION,1,Atlantic,2,27,27.2,27.2.b,27.2.b.2,,353,Spitzbergen and Bear Island Non-NEAFC Regulatory Area (Division 27.2.b.2),Spitzberg et île aux Ours - non-CPANE (Division 27.2.b.2),Spitzbergen e Islas Osos Non-CPANE (División 27.2.b.2),1.05316E+12
27.8.e.2,SUBDIVISION,1,Atlantic,2,27,27.8,27.8.e,27.8.e.2,,354,West of Bay of Biscay Non-NEAFC Regulatory Area (Subdivision 27.8.e.2),Ouest du golfe de Gascogne - Partie de non-CPANE (Sous-division 27.8.e.2),Oeste del Golfo de Vizcaya Non-CPANE (Subdivisión 27.8.e.2),55353597284
27.5.b.2,SUBDIVISION,1,Atlantic,2,27,27.5,27.5.b,27.5.b.2,,355,Faroe Bank (Subdivision 27.5.b.2),Banc des Féroé (Sous-division 27.5.b.2),Banco de las Feroe (Subdivisión 27.5.b.2),20869422102
27.12.a.3,SUBDIVISION,1,Atlantic,2,27,27.12,27.12.a,27.12.a.3,,356,Subdivision 27.12.a.3 Non-NEAFC Regulatory Area,Subdivision 27.12.a.3 non-CPANE,Subdivisión 27.12.a.3 - Non-CPANE,55149044978
27.12.a.2,SUBDIVISION,1,Atlantic,2,27,27.12,27.12.a,27.12.a.2,,357,Subdivision 27.12.a.2 - NEAFC Regulatory Area,Subdivision 27.12.a.2 - CPANE,Subdivisión 27.12.a.2 - CPANE,5022068767
27.2.a.2,SUBDIVISION,1,Atlantic,2,27,27.2,27.2.a,27.2.a.2,,358,Norwegian Sea Non-NEAFC Regulatory Area (Division 27.2.a.2),Mer de Norvège - non-CPANE (Division 27.2.a.2),Mar de Noruega Non-CPANE (División 27.2.a.2),1.18854E+12
27.3.c.22,SUBDIVISION,1,Atlantic,2,27,27.3,"27.3.b, c",27.3.c.22,,359,Belt Sea (Subdivision 27.3.c.22),Mer des Belts (Sous-division 27.3.c.22),Mar de Belt (Subdivisión 27.3.c.22),17970046195
51.5,SUBAREA,1,Indian,5,51,51.5,,,,43,"Indian Ocean, West / 51.5",Ind W / 51.5,Ind W / 51.5,5.19445E+12
27.3.d.27,SUBDIVISION,1,Atlantic,2,27,27.3,27.3.d,27.3.d.27,,360,West of Gotland (Subdivision 27.3.d.27),Ouest de Gotland (Sous-division 27.3.d.27),Oeste de Gotland (Subdivisión 27.3.d.27),33421403307
27.3.d.28,SUBDIVISION,1,Atlantic,2,27,27.3,27.3.d,27.3.d.28,,361,East of Gotland or Gulf of Riga (Subdivision 27.3.d.28),Est de Gotland ou Golfe de Riga (Sous-division 27.3.d.28),Este de Gotland o Golfo de Riga (Subdivisión 27.3.d.28),55541868349
27.3.d.29,SUBDIVISION,1,Atlantic,2,27,27.3,27.3.d,27.3.d.29,,362,Archipelago Sea (Subdivision 27.3.d.29),Mer de l'Archipel (Sous-division 27.3.d.29),Mar Archipiélago (Subdivisión 27.3.d.29),49657520210
27.3.d.32,SUBDIVISION,1,Atlantic,2,27,27.3,27.3.d,27.3.d.32,,363,Gulf of Finland (Subdivision 27.3.d.32),Golfe de Finlande (Sous-division 27.3.d.32),Golfo de Finlandia (Subdivisión 27.3.d.32),31329577108
27.3.d.30,SUBDIVISION,1,Atlantic,2,27,27.3,27.3.d,27.3.d.30,,364,Bothnian Sea (Subdivision 27.3.d.30),Baie de Botnie méridionale (Sous-division 27.3.d.30),Golfo de Botnia meridional (Subdivisión 27.3.d.30),65255837241
27.3.d.31,SUBDIVISION,1,Atlantic,2,27,27.3,27.3.d,27.3.d.31,,365,Bothnian Bay (Subdivision 27.3.d.31),Baie de Botnie septentrionale (Sous-division 27.3.d.31),Golfo de Botnia meridional (Subdivisión 27.3.d.31),36280795943
27.3.d.25,SUBDIVISION,1,Atlantic,2,27,27.3,27.3.d,27.3.d.25,,366,Southern Central Baltic - West (Subdivision 27.3.d.25),Baltique centre-sud - Ouest (Sous-division 27.3.d.25),Báltico centro-meridional - Oeste (Subdivisión 27.3.d.25),43886350987
27.3.a.21,SUBDIVISION,1,Atlantic,2,27,27.3,27.3.a,27.3.a.21,,367,Kattegat (Subdivision 27.3.a.21),Kattegat (Subdivision 27.3.a.21),Kattegat (Subdivisión 27.3.a.21),20458578140
27.3.a.20,SUBDIVISION,1,Atlantic,2,27,27.3,27.3.a,27.3.a.20,,368,Skagerrak (Subdivision 27.3.a.20),Skagerrak (Subdivision 27.3.a.20),Skagerrak (Subdivisión 27.3.a.20),34485431174
21.5.Z.u,SUBUNIT,1,Atlantic,2,21,21.5,21.5.Z,21.5.Z.e,21.5.Z.u,369,"Atlantic, Northwest / 21.5.Z.u",Atl NW / 21.5.Z.u,Atl NW / 21.5.Z.u,1.2109E+11
87.1,SUBAREA,1,Pacific,8,87,87.1,,,,44,"Pacific, Southeast / 87.1","Pacific, Southeast / 87.1","Pacific, Southeast / 87.1",1.19198E+13
21.5.Z.c,SUBUNIT,1,Atlantic,2,21,21.5,21.5.Z,21.5.Z.e,21.5.Z.c,370,"Atlantic, Northwest / 21.5.Z.c",Atl NW / 21.5.Z.c,Atl NW / 21.5.Z.c,13825647335
27.5.b.1.a,SUBUNIT,1,Atlantic,2,27,27.5,27.5.b,27.5.b.1,27.5.b.1.a,371,Faroe Plateau - Part of NEAFC Regulatory Area (Unit 27.5.b.1.a),Plateau des Féroé - Partie de CPANE (Unité 27.5.b.1.a),Planicie de las Feroe - Parte de CPANE (Unidad 27.5.b.1.a),5506171946
27.5.b.1.b,SUBUNIT,1,Atlantic,2,27,27.5,27.5.b,27.5.b.1,27.5.b.1.b,372,Faroe Plateau - Part of Non-NEAFC Regulatory Area (Unit 27.5.b.1.b),Plateau des Féroé - Partie de non-CPANE (Unité 27.5.b.1.b),Planicie de las Feroe Non-CPANE (Unidad 27.5.b.1.b),1.65829E+11
27.3.d.28.2,SUBUNIT,1,Atlantic,2,27,27.3,27.3.d,27.3.d.28,27.3.d.28.2,373,East of Gotland (Open Sea) (Unit 27.3.d.28.2),Est de Gotland (Haute mer) (Unité 27.3.d.28.2),Este de Gotland (Mar abierto) (Unidad 27.3.d.28.2),39512575808
27.3.d.28.1,SUBUNIT,1,Atlantic,2,27,27.3,27.3.d,27.3.d.28,27.3.d.28.1,374,Gulf of Riga (Unit 27.3.d.28.1),Golfe de Riga (Unité 27.3.d.28.1),Golfo de Riga (Unidad 27.3.d.28.1),16029299694
41.1,SUBAREA,1,Atlantic,4,41,41.1,,,,46,"Atlantic, Southwest / 41.1",Atl SW / 41.1,Atl SW / 41.1,5.82579E+12
57.2,SUBAREA,1,Indian,5,57,57.2,,,,47,"Indian Ocean, East / 57.2",Ind E / 57.2,Ind E / 57.2,6.02382E+12
51.6,SUBAREA,1,Indian,5,51,51.6,,,,50,"Indian Ocean, West / 51.6",Ind W / 51.6,Ind W / 51.6,2.79722E+12
51.7,SUBAREA,1,Indian,5,51,51.7,,,,51,"Indian Ocean, West / 51.7",Ind W / 51.7,Ind W / 51.7,1.16302E+13
51.8,SUBAREA,1,Indian,5,51,51.8,,,,53,"Indian Ocean, West / 51.8",Ind W / 51.8,Ind W / 51.8,2.27307E+12
57.5,SUBAREA,1,Indian,5,57,57.5,,,,54,"Indian Ocean, East / 57.5",Ind E / 57.5,Ind E / 57.5,3.84962E+12
57.3,SUBAREA,1,Indian,5,57,57.3,,,,55,"Indian Ocean, East / 57.3",Ind E / 57.3,Ind E / 57.3,6.67582E+12
37,MAJOR,1,Atlantic,3,37,,,,,4,Mediterranean and Black Sea,Méditerranée et mer Noire,Mediterráneo y Mar Negro,2.99543E+12
87.2,SUBAREA,1,Pacific,8,87,87.2,,,,56,"Pacific, Southeast / 87.2","Pacific, Southeast / 87.2","Pacific, Southeast / 87.2",1.09964E+13
41.2,SUBAREA,1,Atlantic,4,41,41.2,,,,57,"Atlantic, Southwest / 41.2",Atl SW / 41.2,Atl SW / 41.2,6.66463E+12
57.4,SUBAREA,1,Indian,5,57,57.4,,,,62,"Indian Ocean, East / 57.4",Ind E / 57.4,Ind E / 57.4,9.55646E+12
87.3,SUBAREA,1,Pacific,8,87,87.3,,,,64,"Pacific, Southeast / 87.3","Pacific, Southeast / 87.3","Pacific, Southeast / 87.3",7.85312E+12
58.7,SUBAREA,1,Indian,10,58,58.7,,,,66,Indian Antarctic 58.7,Ind Antar 58.7,Ind Antar 58.7,5.86186E+11
58.6,SUBAREA,1,Indian,10,58,58.6,,,,67,Indian Antarctic 58.6,Ind Antar 58.6,Ind Antar 58.6,6.69633E+11
58.5,SUBAREA,1,Indian,10,58,58.5,,,,68,Indian Antarctic 58.5,Ind Antar 58.5,Ind Antar 58.5,1.73808E+12
41.3,SUBAREA,1,Atlantic,4,41,41.3,,,,70,"Atlantic, Southwest / 41.3",Atl SW / 41.3,Atl SW / 41.3,5.04752E+12
27.10,SUBAREA,1,Atlantic,2,27,27.10,,,,71,Azores Grounds and Northeast Atlantic South (Subarea  27.10),Fonds des Açores et Atlantique nord-est du sud (Sous-zone 27.10),Fondos de las Azores y Atlántico nordeste del sur (Subárea 27.10),2.64281E+12
27.9,SUBAREA,1,Atlantic,2,27,27.9,,,,72,Portuguese Waters (Subarea 27.9),Eaux portugaises (Sous-zone 27.9),Aguas Portuguesas (Subárea 27.9),6.35608E+11
27,MAJOR,1,Atlantic,2,27,,,,,5,"Atlantic, Northeast","Atlantique, nord-est","Atlántico, nordeste",1.44215E+13
48.3,SUBAREA,1,Atlantic,9,48,48.3,,,,73,Atlantic Antarctic / 48.3,Atl Antar / 48.3,Atl Antar / 48.3,1.02973E+12
48.4,SUBAREA,1,Atlantic,9,48,48.4,,,,74,Atlantic Antarctic / 48.4,Atl Antar / 48.4,Atl Antar / 48.4,9.44872E+11
58.4,SUBAREA,1,Indian,10,58,58.4,,,,75,Indian Antarctic 58.4,Ind Antar 58.4,Ind Antar 58.4,9.82479E+12
48.2,SUBAREA,1,Atlantic,9,48,48.2,,,,76,Atlantic Antarctic / 48.2,Atl Antar / 48.2,Atl Antar / 48.2,8.56054E+11
88.1,SUBAREA,1,Pacific,11,88,88.1,,,,77,Pacific Antarctic / 88.1,Pac Antar / 88.1,Pac Antar / 88.1,3.03103E+12
88.3,SUBAREA,1,Pacific,11,88,88.3,,,,78,Pacific Antarctic / 88.3,Pac Antar / 88.3,Pac Antar / 88.3,2.25805E+12
48.1,SUBAREA,1,Atlantic,9,48,48.1,,,,79,Atlantic Antarctic / 48.1,Atl Antar / 48.1,Atl Antar / 48.1,6.72393E+11
51.3,SUBAREA,1,Indian,5,51,51.3,,,,80,Western Arabian Sea subarea,Sous-zone mer Arabe occidental,Subárea mar Árabe occidental,1.85558E+12
51.1,SUBAREA,1,Indian,5,51,51.1,,,,81,Red Sea subarea,Sous-zone mer Rouge,Subárea mar Rojo,4.60285E+11
57.6,SUBAREA,1,Indian,5,57,57.6,,,,84,"Indian Ocean, East / 57.6",Ind E / 57.6,Ind E / 57.6,1.51595E+12
31,MAJOR,1,Atlantic,3,31,,,,,6,"Atlantic, Western Central","Atlantique, centre-ouest","Atlántico, centro-occidental",1.46164E+13
51.4,SUBAREA,1,Indian,5,51,51.4,,,,85,"Indian Ocean, West / 51.4",Ind W / 51.4,Ind W / 51.4,4.89631E+12
48.6,SUBAREA,1,Atlantic,9,48,48.6,,,,87,Atlantic Antarctic / 48.6,Atl Antar / 48.6,Atl Antar / 48.6,6.42332E+12
48.5,SUBAREA,1,Atlantic,9,48,48.5,,,,88,Atlantic Antarctic / 48.5,Atl Antar / 48.5,Atl Antar / 48.5,2.62628E+12
88.2,SUBAREA,1,Pacific,11,88,88.2,,,,89,Pacific Antarctic / 88.2,Pac Antar / 88.2,Pac Antar / 88.2,5.01815E+12
47.A,SUBAREA,1,Atlantic,4,47,47.A,,,,90,,,,4.90863E+12
21.1,SUBAREA,1,Atlantic,2,21,21.1,,,,91,"Atlantic, Northwest / 21.1",Atl NW / 21.1,Atl NW / 21.1,9.99282E+11
21.2,SUBAREA,1,Atlantic,2,21,21.2,,,,92,"Atlantic, Northwest / 21.2",Atl NW / 21.2,Atl NW / 21.2,6.41944E+11
21.3,SUBAREA,1,Atlantic,2,21,21.3,,,,93,"Atlantic, Northwest / 21.3",Atl NW / 21.3,Atl NW / 21.3,1.45043E+12
47.1,SUBAREA,1,Atlantic,4,47,47.1,,,,94,Western coastal subarea,Sous-zone côtière occidentale,Subárea costera occidental,1.43111E+12
47.C,SUBAREA,1,Atlantic,4,47,47.C,,,,95,,,,4.48186E+12
34,MAJOR,1,Atlantic,3,34,,,,,7,"Atlantic, Eastern Central","Atlantique, centre-est","Atlántico, centro-oriental",1.40762E+13
47.D,SUBAREA,1,Atlantic,4,47,47.D,,,,96,,,,4.37552E+12
47.2,SUBAREA,1,Atlantic,4,47,47.2,,,,97,Agulhas coastal subarea,Sous-zone côtière des Aiguilles,Subárea costera de Agulhas,3.73766E+11
27.8,SUBAREA,1,Atlantic,2,27,27.8,,,,98,Bay of Biscay (Subarea 27.8),Golfe de Gascogne (Sous-zone 27.8),Golfo de Vizcaya (Subárea 27.8),6.76231E+11
21.4,SUBAREA,1,Atlantic,2,21,21.4,,,,99,"Atlantic, Northwest / 21.4",Atl NW / 21.4,Atl NW / 21.4,9.97599E+11
21.5,SUBAREA,1,Atlantic,2,21,21.5,,,,100,"Atlantic, Northwest / 21.5",Atl NW / 21.5,Atl NW / 21.5,2.3348E+11
21.6,SUBAREA,1,Atlantic,2,21,21.6,,,,101,"Atlantic, Northwest / 21.6",Atl NW / 21.6,Atl NW / 21.6,1.396E+12
21.0,SUBAREA,1,Atlantic,2,21,21.0,,,,102,"Atlantic, Northwest / 21.0",Atl NW / 21.0,Atl NW / 21.0,5.82046E+11
47.B,SUBAREA,1,Atlantic,4,47,47.B,,,,103,,,,2.77149E+12
27.7,SUBAREA,1,Atlantic,2,27,27.7,,,,104,"Irish Sea, West of Ireland, Porcupine Bank, Eastern and Western English Channel, etc (Subarea 27.7)","Mer d'Irlande, Ouest de l'Irlande, Banc de Porcupine, Manche, etc. (Sous-zone 27.7)","Mar de Irlanda, Oeste de Irlanda, Porcupine Bank, Canal de La Mancha, etc. (Subárea 27.7)",7.02026E+11
27.4,SUBAREA,1,Atlantic,2,27,27.4,,,,105,North Sea (Subarea 27.4),Mer du Nord (Sous-zone 27.4),Mar del Norte (Subárea 27.4),6.15587E+11
51,MAJOR,1,Indian,5,51,,,,,8,"Indian Ocean, Western","Océan Indien, ouest","Océano Índico, occidental",2.93489E+13
27.3,SUBAREA,1,Atlantic,2,27,27.3,,,,106,"Skagerrak, Kattegat, Sound, Belt Sea, and Baltic Sea (Subarea 27.3)","Skagerrak, Cattégat, Sund, Mer des Belts, Mer Baltique (Sous-zone 27.3)","Skagerrak, Kattegat, Sund,  Mar de Belt y Mar Báltico (Subárea 27.3)",4.55592E+11
27.6,SUBAREA,1,Atlantic,2,27,27.6,,,,107,"Rockall, Northwest Coast of Scotland and North Ireland (Subarea 27.6)","Rockall, Côte Nord-Ouest de l'Ecosse et Irlande du Nord (Sous-zone 27.6)","Rockall, costa nord-occidental de Escocia e Irlanda del Norte (Subárea 27.6)",4.58646E+11
27.5,SUBAREA,1,Atlantic,2,27,27.5,,,,108,Iceland and Faroes Grounds (Subarea 27.5),Fonds d'Islande et des Féroé (Sous-zone 27.5),Fondos de Islandia y de las Feroe (Subárea 27.5),5.70966E+11
27.14,SUBAREA,1,Atlantic,2,27,27.14,,,,109,East Greenland (Subarea 27.14),Groenland est (Sous-zone 27.14),Groenlandia oriental (Subárea 27.14),1.33396E+12
27.2,SUBAREA,1,Atlantic,2,27,27.2,,,,110,"Norwegian Sea, Spitzbergen, and Bear Island (Subarea 27.2)","Mer de Norvège, Spitzberg et île aux Ours (Sous-zone 27.2)","Mar de Noruega, Spitzbergen e Islas Osos (Subárea 27.2)",2.55808E+12
27.1,SUBAREA,1,Atlantic,2,27,27.1,,,,111,Barents Sea (Subarea 27.1),Mer de Barents (Sous-zone 27.1),Mar de Barents (Subárea 27.1),1.624E+12
37.4.2,DIVISION,1,Atlantic,3,37,37.4,37.4.2,,,112,Black Sea,Mer Noire,Mar Negro,4.22248E+11
37.4.3,DIVISION,1,Atlantic,3,37,37.4,37.4.3,,,113,Azov Sea,Mer d'Azov,Mar de Azov,41321405935
37.1.2,DIVISION,1,Atlantic,3,37,37.1,37.1.2,,,114,Gulf of Lion,Golfe du Lion,Golfo de León,62704984407
37.1.3,DIVISION,1,Atlantic,3,37,37.1,37.1.3,,,115,Sardinia,Sardaigne,Cerdeña,3.13742E+11
57,MAJOR,1,Indian,5,57,,,,,9,"Indian Ocean, Eastern","Océan Indien, est","Océano Índico, oriental",3.11788E+13
27.12.b,DIVISION,1,Atlantic,2,27,27.12,27.12.b,,,116,Western Hatton Bank (Division 27.12.b),Nord des Açores (Division 27.12.b),Norte de las Azores (División 27.12.b),2.20899E+11
37.2.1,DIVISION,1,Atlantic,3,37,37.2,37.2.1,,,117,Adriatic,Adriatique,Adriático,98667926773
37.2.2,DIVISION,1,Atlantic,3,37,37.2,37.2.2,,,118,Ionian,Ionienne,Jónio,8.46342E+11
37.3.1,DIVISION,1,Atlantic,3,37,37.3,37.3.1,,,119,Aegean,Égée,Egeo,2.86448E+11
37.4.1,DIVISION,1,Atlantic,3,37,37.4,37.4.1,,,120,Marmara Sea,Mer de Marmara,Mar de Mármara,11827243621
37.3.2,DIVISION,1,Atlantic,3,37,37.3,37.3.2,,,121,Levant,Levant,Levante,4.43943E+11
34.1.2,DIVISION,1,Atlantic,3,34,34.1,34.1.2,,,122,Canaries/Madeira insular,Insulaire des Canaries/Madère,Insular de Canarias/Madera,6.82376E+11
34.1.1,DIVISION,1,Atlantic,3,34,34.1,34.1.1,,,123,Morocco coastal,Côtière du Maroc,Costera de Marruecos,3.84072E+11
34.1.3,DIVISION,1,Atlantic,3,34,34.1,34.1.3,,,126,Sahara coastal,Côtière du Sahara,Costera del Sahara,3.16899E+11
71.6.2,DIVISION,1,Pacific,7,71,_71.6,71.6.2,,,130,"Pacific, West central / 71.6.2",Pac WC / 71.6.2,Pac WC / 71.6.2,4.49659E+12
